T E X A S  E D U C A T I O N  A G E N C Y

PEIMS Student Enrollment Data for 2025-2026

"YEAR","REGION","COUNTY NAME","DISTRICT","DISTRICT NAME","CHARTER STATUS","ETHNICITY","ENROLLMENT"
"2025-2026",10,"DALLAS COUNTY",057829,"A+ ACADEMY","OPEN ENROLLMENT CHARTER","American Indian or Alaska Nat","<10"
"2025-2026",10,"DALLAS COUNTY",057829,"A+ ACADEMY","OPEN ENROLLMENT CHARTER","Asian","<10"
"2025-2026",10,"DALLAS COUNTY",057829,"A+ ACADEMY","OPEN ENROLLMENT CHARTER","Black or African American",55
"2025-2026",10,"DALLAS COUNTY",057829,"A+ ACADEMY","OPEN ENROLLMENT CHARTER","Hispanic/Latino",1610
"2025-2026",10,"DALLAS COUNTY",057829,"A+ ACADEMY","OPEN ENROLLMENT CHARTER","Two or more races","<10"
"2025-2026",10,"DALLAS COUNTY",057829,"A+ ACADEMY","OPEN ENROLLMENT CHARTER","White",22
"2025-2026",04,"HARRIS COUNTY",101871,"A+ UNLIMITED POTENTIAL","OPEN ENROLLMENT CHARTER","Black or African American",111
"2025-2026",04,"HARRIS COUNTY",101871,"A+ UNLIMITED POTENTIAL","OPEN ENROLLMENT CHARTER","Hispanic/Latino",63
"2025-2026",04,"HARRIS COUNTY",101871,"A+ UNLIMITED POTENTIAL","OPEN ENROLLMENT CHARTER","Two or more races","<10"
"2025-2026",04,"HARRIS COUNTY",101871,"A+ UNLIMITED POTENTIAL","OPEN ENROLLMENT CHARTER","White","<20"
"2025-2026",12,"HILL COUNTY",109901,"ABBOTT ISD","TRADITIONAL ISD/CSD","Black or African American","<10"
"2025-2026",12,"HILL COUNTY",109901,"ABBOTT ISD","TRADITIONAL ISD/CSD","Hispanic/Latino",50
"2025-2026",12,"HILL COUNTY",109901,"ABBOTT ISD","TRADITIONAL ISD/CSD","Two or more races","<10"
"2025-2026",12,"HILL COUNTY",109901,"ABBOTT ISD","TRADITIONAL ISD/CSD","White",223
"2025-2026",17,"HALE COUNTY",095901,"ABERNATHY ISD","TRADITIONAL ISD/CSD","American Indian or Alaska Nat","<10"
"2025-2026",17,"HALE COUNTY",095901,"ABERNATHY ISD","TRADITIONAL ISD/CSD","Asian","<10"
